,NLQ,PREDICTED SQL,GOLD SQL,DATABASE
0,Find the total ranking points for each player and their first name.,"SELECT sum(ranking_points) ,  first_name FROM rankings AS T1 JOIN players AS T2 ON T1.player_id  =  T2.player_id GROUP BY T2.first_name","SELECT sum(ranking_points) ,  T1.first_name FROM players AS T1 JOIN rankings AS T2 ON T1.player_id  =  T2.player_id GROUP BY T1.first_name",wta_1
1,What are the distinct template type descriptions for the templates ever used by any document?,SELECT DISTINCT T1.Template_Type_Description FROM Ref_Template_Types AS T1 JOIN Templates AS T2 ON T1.Template_Type_Code  =  T2.Template_Type_Code,SELECT DISTINCT T1.template_type_description FROM Ref_template_types AS T1 JOIN Templates AS T2 ON T1.template_type_code  = T2.template_type_code JOIN Documents AS T3 ON T2.Template_ID  =  T3.template_ID,cre_Doc_Template_Mgt
2,how many cars were produced in 1980?,SELECT count(*) FROM cars_data WHERE Year  =  1980,SELECT count(*) FROM CARS_DATA WHERE YEAR  =  1980;,car_1
3,What is the program id and the summary of the degree that has the most students enrolled?,"SELECT degree_program_id ,  degree_summary_name FROM Degree_Programs WHERE degree_program_id  =  (SELECT degree_program_id FROM Degree_Programs JOIN Student_Enrolment ON Degree_Programs.degree_program_id  =  Student_Enrolment.degree_program_id GROUP BY degree_program_id ORDER BY count(*) DESC LIMIT 1) #### PostgreSQL SQL QUERY SELECT degree_program_id ,  degree_summary_name FROM Degree_Programs WHERE degree_program_id  =  (SELECT degree_program_id FROM Degree_Programs JOIN Student_Enrolment ON Degree_Programs.degree_program_id  =  Student_Enrolment.degree_program_id GROUP BY degree_program_id ORDER BY count(*) DESC LIMIT 1) #### PostgreSQL FIXED SQL QUERY SELECT degree_program_id ,  degree_summary_name FROM Degree_Programs WHERE degree_program_id  =  (SELECT degree_program_id FROM Degree_Programs JOIN Student_Enrolment ON Degree_Programs.degree_program_id  =  Student_Enrolment.degree_program_id GROUP BY degree_program_id ORDER BY count(*) DESC LIMIT 1) #### MySQL SQL QUERY SELECT degree_program_id ,  degree_summary_name FROM Degree_Programs WHERE degree_program_id  =  (SELECT degree_program_id FROM D","SELECT T1.degree_program_id ,  T1.degree_summary_name FROM Degree_Programs AS T1 JOIN Student_Enrolment AS T2 ON T1.degree_program_id  =  T2.degree_program_id GROUP BY T1.degree_program_id ORDER BY count(*) DESC LIMIT 1",student_transcripts_tracking
4,How many different templates do all document use?,SELECT count(DISTINCT T1.Template_ID) FROM Templates AS T1 JOIN Documents AS T2 ON T1.Template_ID  =  T2.Template_ID,SELECT count(DISTINCT template_id) FROM Documents,cre_Doc_Template_Mgt
5,How many countries has more than 2 car makers ?,SELECT count(DISTINCT T1.CountryId) FROM countries AS T1 JOIN car_makers AS T2 ON T1.CountryId  =  T2.Country GROUP BY T2.Country HAVING count(*)  >  2,select count(*) from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >  2,car_1
6,What is the number of cars with a horsepower greater than 150?,SELECT count(*) FROM cars_data WHERE Horsepower  >  150,SELECT count(*) FROM CARS_DATA WHERE horsepower  >  150;,car_1
7,Find all airlines that have flights from both airports 'APG' and 'CVO'.,SELECT DISTINCT T1.Airline FROM flights AS T1 WHERE T1.SourceAirport  =  'APG' AND T1.DestAirport  =  'CVO',"SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline WHERE T2.SourceAirport  =  ""APG"" INTERSECT SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline WHERE T2.SourceAirport  =  ""CVO""",flight_2
8,Which language is the most popular in Aruba?,SELECT T1.Language FROM countrylanguage AS T1 JOIN country AS T2 ON T1.CountryCode  =  T2.Code WHERE T2.Name  =  'Aruba' GROUP BY T1.Language ORDER BY T1.Percentage DESC LIMIT 1,"SELECT T2.Language FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode WHERE T1.Name  =  ""Aruba"" ORDER BY Percentage DESC LIMIT 1",world_1
9,What are the names and grades for each high schooler?,"SELECT name ,  grade FROM Highschooler","SELECT name ,  grade FROM Highschooler",network_1
10,Show all template ids and number of documents using each template.,"SELECT T1.Template_ID ,  count(T2.Document_ID) FROM Templates AS T1 JOIN Documents AS T2 ON T1.Template_ID  =  T2.Template_ID GROUP BY T1.Template_ID","SELECT template_id ,  count(*) FROM Documents GROUP BY template_id",cre_Doc_Template_Mgt
11,Show the student IDs and numbers of friends corresponding to each.,"SELECT T1.ID ,  count(DISTINCT T2.friend_id) FROM Highschooler AS T1 JOIN Friend AS T2 ON T1.ID  =  T2.student_id GROUP BY T2.student_id","SELECT student_id ,  count(*) FROM Friend GROUP BY student_id",network_1
12,"What major is every student who does not own a cat as a pet, and also how old are they?","SELECT T1.Major ,  T1.Age FROM Student AS T1 WHERE NOT EXISTS (SELECT * FROM Pets AS T2 WHERE T2.PetType  =  'cat' AND T1.PetID  =  T2.PetID)","SELECT major ,  age FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')",pets_1
