DATABASE,GOLD SQL,PREDICTED SQL,DECISION
wta_1,"SELECT sum(ranking_points) ,  T1.first_name FROM players AS T1 JOIN rankings AS T2 ON T1.player_id  =  T2.player_id GROUP BY T1.first_name","SELECT sum(ranking_points) ,  first_name FROM rankings AS T1 JOIN players AS T2 ON T1.player_id  =  T2.player_id GROUP BY T2.first_name",CORRECT
cre_Doc_Template_Mgt,SELECT DISTINCT T1.template_type_description FROM Ref_template_types AS T1 JOIN Templates AS T2 ON T1.template_type_code  = T2.template_type_code JOIN Documents AS T3 ON T2.Template_ID  =  T3.template_ID,SELECT DISTINCT T1.Template_Type_Description FROM Ref_Template_Types AS T1 JOIN Templates AS T2 ON T1.Template_Type_Code  =  T2.Template_Type_Code,WRONG
car_1,SELECT count(*) FROM CARS_DATA WHERE YEAR  =  1980;,SELECT count(*) FROM cars_data WHERE Year  =  1980,CORRECT
student_transcripts_tracking,"SELECT T1.degree_program_id ,  T1.degree_summary_name FROM Degree_Programs AS T1 JOIN Student_Enrolment AS T2 ON T1.degree_program_id  =  T2.degree_program_id GROUP BY T1.degree_program_id ORDER BY count(*) DESC LIMIT 1","SELECT degree_program_id ,  degree_summary_name FROM Degree_Programs WHERE degree_program_id  =  (SELECT degree_program_id FROM Degree_Programs JOIN Student_Enrolment ON Degree_Programs.degree_program_id  =  Student_Enrolment.degree_program_id GROUP BY degree_program_id ORDER BY count(*) DESC LIMIT 1) #### PostgreSQL SQL QUERY SELECT degree_program_id ,  degree_summary_name FROM Degree_Programs WHERE degree_program_id  =  (SELECT degree_program_id FROM Degree_Programs JOIN Student_Enrolment ON Degree_Programs.degree_program_id  =  Student_Enrolment.degree_program_id GROUP BY degree_program_id ORDER BY count(*) DESC LIMIT 1) #### PostgreSQL FIXED SQL QUERY SELECT degree_program_id ,  degree_summary_name FROM Degree_Programs WHERE degree_program_id  =  (SELECT degree_program_id FROM Degree_Programs JOIN Student_Enrolment ON Degree_Programs.degree_program_id  =  Student_Enrolment.degree_program_id GROUP BY degree_program_id ORDER BY count(*) DESC LIMIT 1) #### MySQL SQL QUERY SELECT degree_program_id ,  degree_summary_name FROM Degree_Programs WHERE degree_program_id  =  (SELECT degree_program_id FROM D",WRONG
cre_Doc_Template_Mgt,SELECT count(DISTINCT template_id) FROM Documents,SELECT count(DISTINCT T1.Template_ID) FROM Templates AS T1 JOIN Documents AS T2 ON T1.Template_ID  =  T2.Template_ID,CORRECT
car_1,select count(*) from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >  2,SELECT count(DISTINCT T1.CountryId) FROM countries AS T1 JOIN car_makers AS T2 ON T1.CountryId  =  T2.Country GROUP BY T2.Country HAVING count(*)  >  2,CORRECT
car_1,SELECT count(*) FROM CARS_DATA WHERE horsepower  >  150;,SELECT count(*) FROM cars_data WHERE Horsepower  >  150,CORRECT
flight_2,"SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline WHERE T2.SourceAirport  =  ""APG"" INTERSECT SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline WHERE T2.SourceAirport  =  ""CVO""",SELECT DISTINCT T1.Airline FROM flights AS T1 WHERE T1.SourceAirport  =  'APG' AND T1.DestAirport  =  'CVO',CORRECT
world_1,"SELECT T2.Language FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode WHERE T1.Name  =  ""Aruba"" ORDER BY Percentage DESC LIMIT 1",SELECT T1.Language FROM countrylanguage AS T1 JOIN country AS T2 ON T1.CountryCode  =  T2.Code WHERE T2.Name  =  'Aruba' GROUP BY T1.Language ORDER BY T1.Percentage DESC LIMIT 1,CORRECT
network_1,"SELECT name ,  grade FROM Highschooler","SELECT name ,  grade FROM Highschooler",CORRECT
