,NLQ,PREDICTED SQL,GOLD SQL,DATABASE
0,How many people are there of each nationality?,"SELECT Nationality, count(*) FROM people GROUP BY Nationality","SELECT Nationality ,  COUNT(*) FROM people GROUP BY Nationality",poker_player
1,How many players are there for each hand type?,"SELECT hand, count(*) FROM players GROUP BY hand","SELECT count(*) ,  hand FROM players GROUP BY hand",wta_1
2,List the last name of the owner owning the youngest dog.,SELECT T1.last_name FROM Owners AS T1 JOIN Dogs AS T2 ON T1.owner_id = T2.owner_id WHERE T2.age = (SELECT MIN(age) FROM Dogs),SELECT T1.last_name FROM Owners AS T1 JOIN Dogs AS T2 ON T1.owner_id  =  T2.owner_id WHERE T2.age  =  ( SELECT max(age) FROM Dogs ),dog_kennels
3,"For each hometown, how many teachers are there?","SELECT T1.Hometown, COUNT(DISTINCT T2.Teacher_ID) FROM teacher AS T1 JOIN course_arrange AS T2 ON T1.Teacher_ID = T2.Teacher_ID GROUP BY T1.Hometown","SELECT Hometown ,  COUNT(*) FROM teacher GROUP BY Hometown",course_teach
4,"What are the names of countries that speak more than 2 languages, as well as how many languages they speak?","SELECT T1.Name, count(DISTINCT T2.Language) FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code = T2.CountryCode WHERE count(T2.Language) > 2 GROUP BY T1.Name","SELECT COUNT(T2.Language) ,  T1.Name FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode GROUP BY T1.Name HAVING COUNT(*)  >  2",world_1
5,Find the first name and age of students who have a pet.,"SELECT Fname, Age FROM Student WHERE StuID IN (SELECT StuID FROM Has_Pet)","SELECT DISTINCT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid",pets_1
6,"Show name, country, age for all singers ordered by age from the oldest to the youngest.","SELECT Name, Country, Age FROM singer ORDER BY Age","SELECT name ,  country ,  age FROM singer ORDER BY age DESC",concert_singer
7,How many countries have governments that are republics?,SELECT count(*) FROM country WHERE GovernmentForm = 'Republic',"SELECT count(*) FROM country WHERE GovernmentForm  =  ""Republic""",world_1
8,What are the final tables made and best finishes for all poker players?,"SELECT Final_Table_Made, Best_Finish, People_ID FROM poker_player INNER JOIN people ON poker_player.People_ID = people.People_ID","SELECT Final_Table_Made ,  Best_Finish FROM poker_player",poker_player
9,Count the number of templates.,SELECT count(*) FROM Templates,SELECT count(*) FROM Templates,cre_Doc_Template_Mgt
10,"What are the names of conductors whose nationalities are not ""USA""?",SELECT Name FROM conductor WHERE Nationality != 'USA',SELECT Name FROM conductor WHERE Nationality != 'USA',orchestra
