DATABASE,GOLD SQL,PREDICTED SQL,DECISION
poker_player,"SELECT Nationality ,  COUNT(*) FROM people GROUP BY Nationality","SELECT Nationality, count(*) FROM people GROUP BY Nationality",CORRECT
wta_1,"SELECT count(*) ,  hand FROM players GROUP BY hand","SELECT hand, count(*) FROM players GROUP BY hand",CORRECT
dog_kennels,SELECT T1.last_name FROM Owners AS T1 JOIN Dogs AS T2 ON T1.owner_id  =  T2.owner_id WHERE T2.age  =  ( SELECT max(age) FROM Dogs ),SELECT T1.last_name FROM Owners AS T1 JOIN Dogs AS T2 ON T1.owner_id = T2.owner_id WHERE T2.age = (SELECT MIN(age) FROM Dogs),WRONG
course_teach,"SELECT Hometown ,  COUNT(*) FROM teacher GROUP BY Hometown","SELECT T1.Hometown, COUNT(DISTINCT T2.Teacher_ID) FROM teacher AS T1 JOIN course_arrange AS T2 ON T1.Teacher_ID = T2.Teacher_ID GROUP BY T1.Hometown",WRONG
world_1,"SELECT COUNT(T2.Language) ,  T1.Name FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode GROUP BY T1.Name HAVING COUNT(*)  >  2","SELECT T1.Name, count(DISTINCT T2.Language) FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code = T2.CountryCode WHERE count(T2.Language) > 2 GROUP BY T1.Name",WRONG
pets_1,"SELECT DISTINCT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid","SELECT Fname, Age FROM Student WHERE StuID IN (SELECT StuID FROM Has_Pet)",WRONG
concert_singer,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT Name, Country, Age FROM singer ORDER BY Age",WRONG
world_1,"SELECT count(*) FROM country WHERE GovernmentForm  =  ""Republic""",SELECT count(*) FROM country WHERE GovernmentForm = 'Republic',CORRECT
poker_player,"SELECT Final_Table_Made ,  Best_Finish FROM poker_player","SELECT Final_Table_Made, Best_Finish, People_ID FROM poker_player INNER JOIN people ON poker_player.People_ID = people.People_ID",WRONG
cre_Doc_Template_Mgt,SELECT count(*) FROM Templates,SELECT count(*) FROM Templates,CORRECT
orchestra,SELECT Name FROM conductor WHERE Nationality != 'USA',SELECT Name FROM conductor WHERE Nationality != 'USA',CORRECT
flight_2,"SELECT count(*) FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.DestAirport  =  T2.AirportCode JOIN AIRPORTS AS T3 ON T1.SourceAirport  =  T3.AirportCode WHERE T2.City  =  ""Ashley"" AND T3.City  =  ""Aberdeen""",SELECT count(DISTINCT T1.FlightNo) FROM flights AS T1 WHERE T1.SourceAirport = 'Aberdeen' AND T1.DestAirport = 'Ashley',CORRECT
museum_visit,SELECT name FROM museum WHERE num_of_staff  >  (SELECT min(num_of_staff) FROM museum WHERE open_year  >  2010),SELECT Name FROM museum WHERE Num_of_Staff > (SELECT min(Num_of_Staff) FROM museum WHERE Open_Year > 2010) AND Open_Year > 2010,WRONG
