,NLQ,PREDICTED SQL,GOLD SQL,DATABASE
0,What is the name of each continent and how many car makers are there in each one?,"SELECT continents.Continent, COUNT(DISTINCT car_makers.Maker) FROM continents JOIN car_makers ON continents.ContId = car_makers.Continent JOIN countries ON car_makers.Country = countries.CountryId JOIN model_list ON car_makers.Id = model_list.Maker JOIN car_names ON model_list.Model = car_names.Model JOIN cars_data ON car_names.MakeId = cars_data.Id GROUP BY continents.Continent","SELECT T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.continent JOIN car_makers AS T3 ON T2.CountryId  =  T3.Country GROUP BY T1.Continent;",car_1
1,"What is the first, middle, and last name of the earliest school graduate?","SELECT first_name, middle_name, last_name FROM Students WHERE date_first_registered = (SELECT min(date_first_registered) FROM Students)","SELECT first_name ,  middle_name ,  last_name FROM Students ORDER BY date_left ASC LIMIT 1",student_transcripts_tracking
2,What is the maximum number of times that a course shows up in different transcripts and what is that course's enrollment id?,"SELECT transcript_id, course_id FROM transcript_contents  JOIN Student_Enrolment_Courses ON transcript_contents.student_course_id = Student_Enrolment_Courses.student_course_id  JOIN Student_Enrolment ON Student_Enrolment_Courses.student_enrolment_id = Student_Enrolment.student_enrolment_id  JOIN Courses ON Student_Enrolment_Courses.course_id = Courses.course_id  JOIN Departments ON Courses.department_id = Departments.department_id  JOIN Degree_Programs ON Departments.department_id = Degree_Programs.department_id  JOIN Semesters ON Student_Enrolment.semester_id = Semesters.semester_id  JOIN Addresses ON Students.permanent_address_id = Addresses.address_id  JOIN Students ON Student_Enrolment.student_id = Students.student_id  WHERE COUNT(*) > 1  GROUP BY course_id","SELECT count(*) ,  student_course_id FROM Transcript_Contents GROUP BY student_course_id ORDER BY count(*) DESC LIMIT 1",student_transcripts_tracking
3,What are the names of all cartoons directed by Ben Jones?,SELECT Title FROM Cartoon WHERE Directed_by = 'Ben_Jones',"SELECT Title FROM Cartoon WHERE Directed_by = ""Ben Jones"";",tvshow
4,How many cartoons did each director create?,SELECT COUNT (DISTINCT directed_by) FROM Cartoon GROUP BY directed_by,"SELECT count(*) ,  Directed_by FROM cartoon GROUP BY Directed_by",tvshow
5,What are the country codes for countries that do not speak English?,SELECT Code FROM country WHERE NOT EXISTS (SELECT * FROM countrylanguage WHERE IsOfficial  =  1 AND country.Code  =  countrylanguage.CountryCode),"SELECT CountryCode FROM countrylanguage EXCEPT SELECT CountryCode FROM countrylanguage WHERE LANGUAGE  =  ""English""",world_1
6,What are the names of airports in Aberdeen?,SELECT DISTINCT AirportName FROM airports WHERE CountryAbbrev = 'Aberdeen',"SELECT AirportName FROM AIRPORTS WHERE City = ""Aberdeen""",flight_2
7,What is the number of countries with more than 2 car makers ?,SELECT countries.CountryId FROM countries WHERE (SELECT COUNT(DISTINCT car_makers.Id) FROM car_makers  JOIN model_list ON car_makers.Id = model_list.Maker  JOIN cars_data ON model_list.Model = cars_data.MakeId  WHERE cars_data.Country = countries.CountryId)  > 2 GROUP BY countries.CountryId,select count(*) from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >  2,car_1
8,What is the number of car models created by the car maker American Motor Company?,SELECT COUNT(model_list.Model) FROM model_list  JOIN car_makers ON model_list.Maker = car_makers.Id  JOIN countries ON car_makers.Country = countries.CountryId  JOIN continents ON countries.Continent = continents.ContId  WHERE car_makers.Maker = 'American Motor Company' GROUP BY model_list.Model,SELECT count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker WHERE T1.FullName  =  'American Motor Company';,car_1
9,"What are the name, independence year, and surface area of the country with the smallest population?","SELECT name, IndepYear, SurfaceArea FROM country WHERE Population = (SELECT min(Population) FROM country WHERE Population IN (SELECT Population FROM country))","SELECT Name ,  SurfaceArea ,  IndepYear FROM country ORDER BY Population LIMIT 1",world_1
