DATABASE,GOLD SQL,PREDICTED SQL,DECISION
car_1,"SELECT T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.continent JOIN car_makers AS T3 ON T2.CountryId  =  T3.Country GROUP BY T1.Continent;","SELECT continents.Continent, COUNT(DISTINCT car_makers.Maker) FROM continents JOIN car_makers ON continents.ContId = car_makers.Continent JOIN countries ON car_makers.Country = countries.CountryId JOIN model_list ON car_makers.Id = model_list.Maker JOIN car_names ON model_list.Model = car_names.Model JOIN cars_data ON car_names.MakeId = cars_data.Id GROUP BY continents.Continent",WRONG
student_transcripts_tracking,"SELECT first_name ,  middle_name ,  last_name FROM Students ORDER BY date_left ASC LIMIT 1","SELECT first_name, middle_name, last_name FROM Students WHERE date_first_registered = (SELECT min(date_first_registered) FROM Students)",CORRECT
student_transcripts_tracking,"SELECT count(*) ,  student_course_id FROM Transcript_Contents GROUP BY student_course_id ORDER BY count(*) DESC LIMIT 1","SELECT transcript_id, course_id FROM transcript_contents  JOIN Student_Enrolment_Courses ON transcript_contents.student_course_id = Student_Enrolment_Courses.student_course_id  JOIN Student_Enrolment ON Student_Enrolment_Courses.student_enrolment_id = Student_Enrolment.student_enrolment_id  JOIN Courses ON Student_Enrolment_Courses.course_id = Courses.course_id  JOIN Departments ON Courses.department_id = Departments.department_id  JOIN Degree_Programs ON Departments.department_id = Degree_Programs.department_id  JOIN Semesters ON Student_Enrolment.semester_id = Semesters.semester_id  JOIN Addresses ON Students.permanent_address_id = Addresses.address_id  JOIN Students ON Student_Enrolment.student_id = Students.student_id  WHERE COUNT(*) > 1  GROUP BY course_id",WRONG
tvshow,"SELECT Title FROM Cartoon WHERE Directed_by = ""Ben Jones"";",SELECT Title FROM Cartoon WHERE Directed_by = 'Ben_Jones',WRONG
tvshow,"SELECT count(*) ,  Directed_by FROM cartoon GROUP BY Directed_by",SELECT COUNT (DISTINCT directed_by) FROM Cartoon GROUP BY directed_by,WRONG
world_1,"SELECT CountryCode FROM countrylanguage EXCEPT SELECT CountryCode FROM countrylanguage WHERE LANGUAGE  =  ""English""",SELECT Code FROM country WHERE NOT EXISTS (SELECT * FROM countrylanguage WHERE IsOfficial  =  1 AND country.Code  =  countrylanguage.CountryCode),WRONG
flight_2,"SELECT AirportName FROM AIRPORTS WHERE City = ""Aberdeen""",SELECT DISTINCT AirportName FROM airports WHERE CountryAbbrev = 'Aberdeen',CORRECT
car_1,select count(*) from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >  2,SELECT countries.CountryId FROM countries WHERE (SELECT COUNT(DISTINCT car_makers.Id) FROM car_makers  JOIN model_list ON car_makers.Id = model_list.Maker  JOIN cars_data ON model_list.Model = cars_data.MakeId  WHERE cars_data.Country = countries.CountryId)  > 2 GROUP BY countries.CountryId,WRONG
car_1,SELECT count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker WHERE T1.FullName  =  'American Motor Company';,SELECT COUNT(model_list.Model) FROM model_list  JOIN car_makers ON model_list.Maker = car_makers.Id  JOIN countries ON car_makers.Country = countries.CountryId  JOIN continents ON countries.Continent = continents.ContId  WHERE car_makers.Maker = 'American Motor Company' GROUP BY model_list.Model,WRONG
world_1,"SELECT Name ,  SurfaceArea ,  IndepYear FROM country ORDER BY Population LIMIT 1","SELECT name, IndepYear, SurfaceArea FROM country WHERE Population = (SELECT min(Population) FROM country WHERE Population IN (SELECT Population FROM country))",WRONG
voter_1,SELECT count(*) FROM votes WHERE state  =  'NY' OR state  =  'CA',"SELECT count(*) FROM VOTES  JOIN CONTESTANTS ON VOTES.contestant_number = CONTESTANTS.contestant_number  JOIN AREA_CODE_STATE ON VOTES.state = AREA_CODE_STATE.state  WHERE AREA_CODE_STATE.state IN ('NY', 'CA')",WRONG
car_1,SELECT DISTINCT T1.Maker FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker JOIN CAR_NAMES AS T3 ON T2.model  =  T3.model JOIN CARS_DATA AS T4 ON T3.MakeId  =  T4.id WHERE T4.year  =  '1970';,SELECT DISTINCT T1.Maker FROM car_makers AS T1 WHERE EXISTS (SELECT * FROM cars_data AS T2 WHERE T2.Year = 1970 AND T2.MakeId = T1.Id),WRONG
