,NLQ,PREDICTED SQL,GOLD SQL,DATABASE
0,How many singers do we have?,SELECT count(*) FROM singer  ,SELECT count(*) FROM singer,concert_singer
1,What is the total number of singers?,SELECT count(*) FROM singer  ,SELECT count(*) FROM singer,concert_singer
2,"Show name, country, age for all singers ordered by age from the oldest to the youngest.","SELECT Name, Country, Age, Age FROM singer ORDER BY Age DESC  ","SELECT name ,  country ,  age FROM singer ORDER BY age DESC",concert_singer
3,"What are the names, countries, and ages for every singer in descending order of age?","SELECT Name,Country,Age FROM singer ORDER BY Age DESC  ","SELECT name ,  country ,  age FROM singer ORDER BY age DESC",concert_singer
4,"What is the average, minimum, and maximum age of all singers from France?","SELECT avg(Age) ,  min(Age) ,  max(Age) FROM singer WHERE Country =  'France'  ","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",concert_singer
5,"What is the average, minimum, and maximum age for all French singers?","SELECT avg(Age) ,  min(Age) ,  max(Age) FROM singer WHERE Country = ""France""  ","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",concert_singer
6,Show the name and the release year of the song by the youngest singer.,"SELECT name ,  Song_release_year FROM singer ORDER BY Age ASC LIMIT 1  ","SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",concert_singer
7,What are the names and release years for all the songs of the youngest singer?,"SELECT name ,  Song_Name ,  Song_release_year FROM singer WHERE Age  =  (SELECT min(Age) FROM singer)  ","SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",concert_singer
8,What are all distinct countries where singers above age 20 are from?,SELECT DISTINCT Country FROM singer WHERE Age  >  20  ,SELECT DISTINCT country FROM singer WHERE age  >  20,concert_singer
9,What are  the different countries with singers above age 20?,SELECT Country FROM singer WHERE Age  >  20 GROUP BY Country ORDER BY count(*) DESC LIMIT 3  ,SELECT DISTINCT country FROM singer WHERE age  >  20,concert_singer
10,Show all countries and the number of singers in each country.,"SELECT Country, Count(*) FROM singer GROUP BY Country  ","SELECT country ,  count(*) FROM singer GROUP BY country",concert_singer
11,How many singers are from each country?,SELECT COUNT (DISTINCT Country) FROM singer  ,"SELECT country ,  count(*) FROM singer GROUP BY country",concert_singer
12,List all song names by singers above the average age.,SELECT Song_Name FROM singer WHERE Age  >  (SELECT avg(Age) FROM singer)  ,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),concert_singer
13,What are all the song names by singers who are older than average?,SELECT T1.Song_Name FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID  =  T2.Singer_ID WHERE T2.Age  >  (SELECT avg(Age) FROM singer) AND T2.concert_ID = (SELECT concert_ID FROM concert WHERE Year > (SELECT avg(Year) FROM concert))  ,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),concert_singer
14,Show location and name for all stadiums with a capacity between 5000 and 10000.,"SELECT Location, Name, Capacity FROM stadium WHERE Capacity BETWEEN 5000 AND 10000  ","SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",concert_singer
15,What are the locations and names of all stations with capacity between 5000 and 10000?,"SELECT Location ,  Name ,  Capacity FROM stadium WHERE Capacity BETWEEN 5000 AND 10000  ","SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",concert_singer
16,What is the maximum capacity and the average of all stadiums ?,"SELECT max(Capacity) ,  avg(Capacity) FROM stadium  ","select max(capacity), average from stadium",concert_singer
17,What is the average and maximum capacities for all stadiums ?,"SELECT avg(Capacity) ,  max(Capacity) FROM stadium  ","select avg(capacity) ,  max(capacity) from stadium",concert_singer
18,What is the name and capacity for the stadium with highest average attendance?,"SELECT Name,Capacity,Average,Average FROM stadium ORDER BY Average DESC LIMIT 1  ","SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1",concert_singer
19,What is the name and capacity for the stadium with the highest average attendance?,"SELECT Name,Capacity,Average,Average FROM stadium ORDER BY Average DESC LIMIT 1  ","SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1",concert_singer
20,How many concerts are there in year 2014 or 2015?,SELECT COUNT (DISTINCT concert_ID) FROM concert WHERE Year  =  2014 OR Year  =  2015  ,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,concert_singer
21,How many concerts occurred in 2014 or 2015?,SELECT COUNT (DISTINCT concert_ID) FROM concert WHERE Year  =  2014 OR Year  =  2015  ,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,concert_singer
22,Show the stadium name and the number of concerts in each stadium.,"SELECT Name ,  count(*) FROM stadium GROUP BY Name  ","SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id",concert_singer
23,"For each stadium, how many concerts play there?",SELECT Capacity FROM stadium WHERE stadium.Stadium_ID = (SELECT concert.Stadium_ID FROM concert WHERE concert.concert_ID = (SELECT concert_ID FROM singer_in_concert WHERE singer_in_concert.Singer_ID = (SELECT Singer_ID FROM singer WHERE singer.Country = 'United States' AND singer.Name = 'Beyoncé')))  ,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id",concert_singer
24,Show the stadium name and capacity with most number of concerts in year 2014 or after.,"SELECT Name,Capacity FROM stadium WHERE YEAR  >=  2014 OR YEAR  =  NULL GROUP BY Name,Capacity ORDER BY COUNT(*) DESC  ","SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1",concert_singer
25,What is the name and capacity of the stadium with the most concerts after 2013 ?,"SELECT Name,Capacity FROM stadium WHERE Stadium_ID IN (SELECT concert_ID FROM concert WHERE concert_Name LIKE '%2013%')  ","select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >  2013 group by t2.stadium_id order by count(*) desc limit 1",concert_singer
26,Which year has most number of concerts?,SELECT Year FROM concert GROUP BY Year ORDER BY count(*) DESC LIMIT 1  ,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,concert_singer
27,What is the year that had the most concerts?,SELECT Year FROM concert GROUP BY Year ORDER BY count(*) DESC LIMIT 1  ,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,concert_singer
