DATABASE,GOLD SQL,PREDICTED SQL,DECISION
concert_singer,SELECT count(*) FROM singer,SELECT count(*) FROM singer,CORRECT
concert_singer,SELECT count(*) FROM singer,SELECT count(*) FROM singer,CORRECT
concert_singer,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT Name, Country, Age, Age FROM singer ORDER BY Age DESC",WRONG
concert_singer,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT Name,Country,Age FROM singer ORDER BY Age DESC",CORRECT
concert_singer,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT avg(Age) ,  min(Age) ,  max(Age) FROM singer WHERE Country =  'France'",CORRECT
concert_singer,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT avg(Age) ,  min(Age) ,  max(Age) FROM singer WHERE Country = ""France""",CORRECT
concert_singer,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT name ,  Song_release_year FROM singer ORDER BY Age ASC LIMIT 1",WRONG
concert_singer,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT name ,  Song_Name ,  Song_release_year FROM singer WHERE Age  =  (SELECT min(Age) FROM singer)",WRONG
concert_singer,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT Country FROM singer WHERE Age  >  20,CORRECT
concert_singer,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT Country FROM singer WHERE Age  >  20 GROUP BY Country ORDER BY count(*) DESC LIMIT 3,WRONG
concert_singer,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT Country, Count(*) FROM singer GROUP BY Country",CORRECT
concert_singer,"SELECT country ,  count(*) FROM singer GROUP BY country",SELECT COUNT (DISTINCT Country) FROM singer,WRONG
concert_singer,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),SELECT Song_Name FROM singer WHERE Age  >  (SELECT avg(Age) FROM singer),CORRECT
concert_singer,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),SELECT T1.Song_Name FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID  =  T2.Singer_ID WHERE T2.Age  >  (SELECT avg(Age) FROM singer) AND T2.concert_ID = (SELECT concert_ID FROM concert WHERE Year > (SELECT avg(Year) FROM concert)),WRONG
concert_singer,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT Location, Name, Capacity FROM stadium WHERE Capacity BETWEEN 5000 AND 10000",CORRECT
concert_singer,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT Location ,  Name ,  Capacity FROM stadium WHERE Capacity BETWEEN 5000 AND 10000",CORRECT
concert_singer,"select max(capacity), average from stadium","SELECT max(Capacity) ,  avg(Capacity) FROM stadium",WRONG
concert_singer,"select avg(capacity) ,  max(capacity) from stadium","SELECT avg(Capacity) ,  max(Capacity) FROM stadium",CORRECT
concert_singer,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT Name,Capacity,Average,Average FROM stadium ORDER BY Average DESC LIMIT 1",WRONG
concert_singer,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT Name,Capacity,Average,Average FROM stadium ORDER BY Average DESC LIMIT 1",WRONG
concert_singer,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,SELECT COUNT (DISTINCT concert_ID) FROM concert WHERE Year  =  2014 OR Year  =  2015,CORRECT
concert_singer,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,SELECT COUNT (DISTINCT concert_ID) FROM concert WHERE Year  =  2014 OR Year  =  2015,CORRECT
concert_singer,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT Name ,  count(*) FROM stadium GROUP BY Name",WRONG
concert_singer,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id",SELECT Capacity FROM stadium WHERE stadium.Stadium_ID = (SELECT concert.Stadium_ID FROM concert WHERE concert.concert_ID = (SELECT concert_ID FROM singer_in_concert WHERE singer_in_concert.Singer_ID = (SELECT Singer_ID FROM singer WHERE singer.Country = 'United States' AND singer.Name = 'Beyoncé'))),WRONG
concert_singer,"SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1","SELECT Name,Capacity FROM stadium WHERE YEAR  >=  2014 OR YEAR  =  NULL GROUP BY Name,Capacity ORDER BY COUNT(*) DESC",WRONG
concert_singer,"select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >  2013 group by t2.stadium_id order by count(*) desc limit 1","SELECT Name,Capacity FROM stadium WHERE Stadium_ID IN (SELECT concert_ID FROM concert WHERE concert_Name LIKE '%2013%')",WRONG
concert_singer,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,SELECT Year FROM concert GROUP BY Year ORDER BY count(*) DESC LIMIT 1,CORRECT
concert_singer,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,SELECT Year FROM concert GROUP BY Year ORDER BY count(*) DESC LIMIT 1,CORRECT
concert_singer,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),SELECT Name FROM stadium WHERE Concert IS NULL,WRONG
concert_singer,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),SELECT Name FROM stadium WHERE Stadium_ID NOT IN (SELECT concert_ID FROM concert),WRONG
concert_singer,SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30,SELECT Country FROM singer WHERE Age > 40 OR Age < 30,WRONG
concert_singer,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,"SELECT Name FROM stadium WHERE Stadium_ID NOT IN (SELECT Stadium_ID FROM concert,concert_in_stadium,concert_ID,concert_Year WHERE concert_Year = 2014)",WRONG
concert_singer,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,SELECT Name FROM stadium WHERE Year != 2014,WRONG
concert_singer,"SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id","SELECT concert_Name, Theme, COUNT(DISTINCT singer_ID) AS singer_count FROM concert JOIN singer_in_concert ON concert_ID = concert_ID GROUP BY concert_ID;",WRONG
concert_singer,"select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id","SELECT concert.concert_Name, concert.Theme, singer.Name, singer.Country, singer.Song_Name, singer.Song_release_year, singer.Age, singer.Is_male FROM singer JOIN concert ON singer.Singer_ID = concert.Singer_ID JOIN stadium ON concert.Stadium_ID = stadium.Stadium_ID",WRONG
concert_singer,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT Name, COUNT(*) FROM singer_in_concert GROUP BY Name",WRONG
concert_singer,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT Name, COUNT(DISTINCT concert_ID) as num_concerts FROM singer_in_concert GROUP BY Name",WRONG
concert_singer,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,SELECT name FROM singer WHERE YEAR  =  2014 AND concert_ID IN (SELECT concert_ID FROM concert WHERE Year = 2014),WRONG
concert_singer,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,SELECT name FROM singer WHERE YEAR  =  2014 AND concert_ID  =  (SELECT concert_ID FROM singer_in_concert WHERE YEAR  =  2014),WRONG
concert_singer,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'","SELECT Name ,  Country ,  Song_Name ,  Song_release_year ,  Age ,  Is_male FROM singer WHERE Song_Name LIKE '%Hey%' AND singer.Country = 'Nation'",WRONG
concert_singer,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'","SELECT T1.Name,T1.Country,T1.Song_Name,T1.Song_release_year,T1.Age,T1.Is_male FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID  =  T2.Singer_ID WHERE T2.concert_ID  =  (SELECT T1.concert_ID FROM concert AS T1 JOIN stadium AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID WHERE T2.Location = 'Hey')",WRONG
concert_singer,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015","SELECT stadium.Name,stadium.Location FROM stadium JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID WHERE concert.Year  =  '2014' AND concert.Year  =  '2015' AND concert.Stadium_ID = stadium.Stadium_ID",WRONG
concert_singer,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015","SELECT      stadium.Name,     stadium.Location FROM     stadium JOIN     singer_in_concert ON singer_in_concert.Stadium_ID = stadium.Stadium_ID JOIN     concert ON concert.concert_ID = singer_in_concert.concert_ID WHERE     concert.Year = 2014 OR concert.Year = 2015 GROUP BY     stadium.Name,stadium.Location HAVING     COUNT(*) > 1",WRONG
concert_singer,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),SELECT count(*) FROM concert WHERE stadium_ID  =  (SELECT max(stadium_ID) FROM stadium),WRONG
concert_singer,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),SELECT count(*) FROM concert WHERE stadium_ID  =  (SELECT max(stadium_ID) FROM stadium),WRONG
pets_1,SELECT count(*) FROM pets WHERE weight  >  10,SELECT count(*) FROM Pets WHERE weight  >  10 AND StuID = 1,WRONG
pets_1,SELECT count(*) FROM pets WHERE weight  >  10,SELECT count(*) FROM Pets WHERE weight  >  10,CORRECT
pets_1,SELECT weight FROM pets ORDER BY pet_age LIMIT 1,SELECT weight FROM Pets WHERE age  =  (SELECT min(age) FROM Pets),WRONG
pets_1,SELECT weight FROM pets ORDER BY pet_age LIMIT 1,SELECT min(weight) FROM Pets WHERE age = (SELECT min(age) FROM Pets),WRONG
pets_1,"SELECT max(weight) ,  petType FROM pets GROUP BY petType","SELECT max(weight) ,  PetType FROM Pets GROUP BY PetType ORDER BY max(weight) DESC",CORRECT
pets_1,"SELECT max(weight) ,  petType FROM pets GROUP BY petType","SELECT max(weight) ,  max(type) FROM Pets",WRONG
pets_1,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20,SELECT count(*) FROM Pets WHERE PetID IN (SELECT StuID FROM Student WHERE Age > 20),CORRECT
pets_1,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20,SELECT count(*) FROM Has_Pet WHERE PetID > 20 AND StuID = Student.StuID AND Age > 20,WRONG
pets_1,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog',SELECT count(*) FROM Has_Pet WHERE Sex  =  'F' AND PetType  =  'Dog' GROUP BY PetID,WRONG
pets_1,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog',SELECT count(*) FROM Student WHERE Fname LIKE '%female%' AND PetType LIKE '%dog%' AND StuID NOT IN (SELECT StuID FROM Has_Pet WHERE PetID = 0),WRONG
pets_1,SELECT count(DISTINCT pettype) FROM pets,SELECT count(DISTINCT PetType) FROM Pets,CORRECT
pets_1,SELECT count(DISTINCT pettype) FROM pets,SELECT count(*) FROM Pets,CORRECT
pets_1,SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog',SELECT Fname FROM Student WHERE Has_Pet.PetID = Pets.PetType AND Pets.PetType = 'cat' OR Pets.PetType = 'dog',WRONG
pets_1,SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog',SELECT Fname FROM Student WHERE Has_Pet.StuID = Student.StuID AND Has_Pet.PetID = 1 AND Has_Pet.PetType = 'cat' OR Has_Pet.PetType = 'dog',WRONG
pets_1,select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'cat' intersect select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'dog',SELECT DISTINCT T1.Fname FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID  =  T2.StuID JOIN Pets AS T3 ON T2.PetID  =  T3.PetID WHERE T3.PetType = 'cat' AND T3.PetType = 'dog',CORRECT
