NLQ,PRED SQL,GOLD SQL,OUTPUT PRED,OUTPUT GOLD
How many patients under a hematology lab test category have intraoperative cardiac pacemaker?,"SELECT count(*) FROM Lab WHERE CATEGORY  =  'Hematology' AND VALUE_UNIT  =  ""Intraoperative cardiac pacemaker""","SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE PROCEDURES.""LONG_TITLE"" = ""Intraoperative cardiac pacemaker"" AND LAB.""CATEGORY"" = ""Hematology""","[(0,)]","[(1,)]"
give the number of patients whose insurance is medicaid and diagnosis short title is drug induced neutropenia.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.INSURANCE  =  'medicaid' AND T2.SHORT_TITLE  =  'drug induced neutropenia',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""INSURANCE"" = ""Medicaid"" AND DIAGNOSES.""SHORT_TITLE"" = ""Drug induced neutropenia""","[(0,)]","[(0,)]"
find the number of patients whose hospital stay is more than 6 days.,SELECT count(*) FROM Demographic WHERE DAYS_STAY  >  6,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""DAYS_STAY"" > ""6""","[(45,)]","[(45,)]"
provide the number of patients with lab test item id 50803 and delta lab test abnormal status.,SELECT count(*) FROM Lab WHERE ITEMID  =  50803 AND FLAG  =  'abnormal',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE LAB.""ITEMID"" = ""50803"" AND LAB.""FLAG"" = ""delta""","[(2,)]","[(0,)]"
find the number of patients whose drug code is dapt500i and lab test fluid is ascites.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Prescriptions AS T2 ON T1.HADM_ID  =  T2.HADM_ID JOIN Lab AS T3 ON T1.HADM_ID  =  T3.HADM_ID WHERE T2.DRUG_TYPE  =  'dapt500i' AND T3.FLUID  =  'ascites',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE PRESCRIPTIONS.""FORMULARY_DRUG_CD"" = ""DAPT500I"" AND LAB.""FLUID"" = ""Ascites""","[(0,)]","[(1,)]"
how many patients are with admission location transfer from hosp/extram and their lab test fluid is joint fluid?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Lab AS T2 ON T1.SUBJECT_ID  =  T2.SUBJECT_ID WHERE T1.ADMISSION_LOCATION  =  'hosp/extram' AND T2.FLUID  =  'joint fluid',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""ADMISSION_LOCATION"" = ""TRANSFER FROM HOSP/EXTRAM"" AND LAB.""FLUID"" = ""Joint Fluid""","[(0,)]","[(0,)]"
how many patients whose language is spanish are aged below 83 years?,SELECT count(*) FROM Demographic WHERE LANGUAGE  =  'Spanish' AND AGE  <  83,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""LANGUAGE"" = ""SPAN"" AND DEMOGRAPHIC.""AGE"" < ""83""","[(0,)]","[(2,)]"
what is the admission time of Kelly Gallardo?,SELECT ADMITTIME FROM Demographic WHERE NAME  =  'Kelly Gallardo',"SELECT DEMOGRAPHIC.""ADMITTIME"" FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""NAME"" = ""Kelly Gallardo""","[('2184-09-06 23:03:00',)]","[('2184-09-06 23:03:00',)]"
how many of the patients had icd9 code 9229?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.ICD9_CODE  =  9229,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE PROCEDURES.""ICD9_CODE"" = ""9229""","[(0,)]","[(1,)]"
what number of patients with elective admission type had procedure title  (aorto)coronary bypass of three coronary arteries?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Procedures AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ADMISSION_TYPE  =  'elective' AND T2.LONG_TITLE  =  '(aorto)coronary bypass of three coronary arteries',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""ADMISSION_TYPE"" = ""ELECTIVE"" AND PROCEDURES.""LONG_TITLE"" = ""(Aorto)coronary bypass of three coronary arteries""","[(0,)]","[(2,)]"
