,NLQ,PREDICTED SQL,GOLD SQL,DATABASE
0,How many patients under a hematology lab test category have intraoperative cardiac pacemaker?,"SELECT count(*) FROM Lab WHERE CATEGORY  =  'Hematology' AND VALUE_UNIT  =  ""Intraoperative cardiac pacemaker""","SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE PROCEDURES.""LONG_TITLE"" = ""Intraoperative cardiac pacemaker"" AND LAB.""CATEGORY"" = ""Hematology""",medical
1,give the number of patients whose insurance is medicaid and diagnosis short title is drug induced neutropenia.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.INSURANCE  =  'medicaid' AND T2.SHORT_TITLE  =  'drug induced neutropenia',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""INSURANCE"" = ""Medicaid"" AND DIAGNOSES.""SHORT_TITLE"" = ""Drug induced neutropenia""",medical
2,find the number of patients whose hospital stay is more than 6 days.,SELECT count(*) FROM Demographic WHERE DAYS_STAY  >  6,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""DAYS_STAY"" > ""6""",medical
3,provide the number of patients with lab test item id 50803 and delta lab test abnormal status.,SELECT count(*) FROM Lab WHERE ITEMID  =  50803 AND FLAG  =  'abnormal',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE LAB.""ITEMID"" = ""50803"" AND LAB.""FLAG"" = ""delta""",medical
4,find the number of patients whose drug code is dapt500i and lab test fluid is ascites.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Prescriptions AS T2 ON T1.HADM_ID  =  T2.HADM_ID JOIN Lab AS T3 ON T1.HADM_ID  =  T3.HADM_ID WHERE T2.DRUG_TYPE  =  'dapt500i' AND T3.FLUID  =  'ascites',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE PRESCRIPTIONS.""FORMULARY_DRUG_CD"" = ""DAPT500I"" AND LAB.""FLUID"" = ""Ascites""",medical
5,how many patients are with admission location transfer from hosp/extram and their lab test fluid is joint fluid?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Lab AS T2 ON T1.SUBJECT_ID  =  T2.SUBJECT_ID WHERE T1.ADMISSION_LOCATION  =  'hosp/extram' AND T2.FLUID  =  'joint fluid',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""ADMISSION_LOCATION"" = ""TRANSFER FROM HOSP/EXTRAM"" AND LAB.""FLUID"" = ""Joint Fluid""",medical
6,how many patients whose language is spanish are aged below 83 years?,SELECT count(*) FROM Demographic WHERE LANGUAGE  =  'Spanish' AND AGE  <  83,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""LANGUAGE"" = ""SPAN"" AND DEMOGRAPHIC.""AGE"" < ""83""",medical
7,what is the admission time of Kelly Gallardo?,SELECT ADMITTIME FROM Demographic WHERE NAME  =  'Kelly Gallardo',"SELECT DEMOGRAPHIC.""ADMITTIME"" FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""NAME"" = ""Kelly Gallardo""",medical
8,how many of the patients had icd9 code 9229?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.ICD9_CODE  =  9229,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE PROCEDURES.""ICD9_CODE"" = ""9229""",medical
9,what number of patients with elective admission type had procedure title  (aorto)coronary bypass of three coronary arteries?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Procedures AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ADMISSION_TYPE  =  'elective' AND T2.LONG_TITLE  =  '(aorto)coronary bypass of three coronary arteries',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""ADMISSION_TYPE"" = ""ELECTIVE"" AND PROCEDURES.""LONG_TITLE"" = ""(Aorto)coronary bypass of three coronary arteries""",medical
10,find the number of emergency hospital admitted patients who had neb route of drug administration.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.ROUTE  =  'neb',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""ADMISSION_TYPE"" = ""EMERGENCY"" AND PRESCRIPTIONS.""ROUTE"" = ""NEB""",medical
11,how many patients born before 2104 had drug route as td?,"SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Prescriptions AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.DOB_YEAR  <  2104 AND T2.ROUTE  =  ""td""","SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""DOB_YEAR"" < ""2104"" AND PRESCRIPTIONS.""ROUTE"" = ""TD""",medical
12,how many of the female patients had sdh as the primary disease?,"SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.GENDER  =  ""female"" AND T2.ICD9_CODE  =  ""sdh"" GROUP BY T1.SUBJECT_ID","SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""GENDER"" = ""F"" AND DEMOGRAPHIC.""DIAGNOSIS"" = ""SDH""",medical
13,what is the age and gender of Cynthia Gomez?,"SELECT AGE ,  GENDER FROM Demographic WHERE NAME  =  'Cynthia Gomez'","SELECT DEMOGRAPHIC.""AGE"",DEMOGRAPHIC.""GENDER"" FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""NAME"" = ""Cynthia Gomez""",medical
14,"Among patients who had sigmoid diverticulitis colovestical fistula/sda as their primary disease, calculate the maximum age of those with unspecified death status",SELECT max(AGE) FROM Demographic WHERE DIAGNOSIS  =  'sigmoid diverticulitis colovestical fistula/sda' AND EXPIRE_FLAG  =  'unspecified',"SELECT MAX ( DEMOGRAPHIC.""AGE"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""EXPIRE_FLAG"" = ""0"" AND DEMOGRAPHIC.""DIAGNOSIS"" = ""SIGMOID DIVERTICULITIS, COLOVESTICAL FISTULA/SDA""",medical
15,specify the age of patient paul dunn along-with gender.,"SELECT AGE ,  GENDER FROM Demographic WHERE NAME  =  'paul dunn'","SELECT DEMOGRAPHIC.""AGE"",DEMOGRAPHIC.""GENDER"" FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""NAME"" = ""Paul Dunn""",medical
16,get the number of black/african american patients who are under 80 years of age.,SELECT count(*) FROM Demographic WHERE ETHNICITY  =  'black/african american' AND AGE  <  80,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""ETHNICITY"" = ""BLACK/AFRICAN AMERICAN"" AND DEMOGRAPHIC.""AGE"" < ""80""",medical
17,what is the number of patients whose admission location is emergency room admit and with procedure closed biopsy of tongue?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Procedures AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ADMISSION_LOCATION  =  'emergency room admit' AND T2.ICD9_CODE  =  'closed biopsy of tongue',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""ADMISSION_LOCATION"" = ""EMERGENCY ROOM ADMIT"" AND PROCEDURES.""SHORT_TITLE"" = ""Closed biopsy of tongue""",medical
18,give the number of patients who died in or before year 2115 with a drug name docusate sodium (liquid).,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Prescriptions AS T1 JOIN Demographic AS T2 ON T1.SUBJECT_ID  =  T2.SUBJECT_ID WHERE T1.DRUG  =  'docusate sodium (liquid)' AND T2.DOD_YEAR  <=  2115,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""DOD_YEAR"" <= ""2115.0"" AND PRESCRIPTIONS.""DRUG"" = ""Docusate Sodium (Liquid)""",medical
19,how many patients admitted before 2162 had procedure title int insert dual- cham dev?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Procedures AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ADMITTIME  <  2162 AND T2.LONG_TITLE  =  'int insert dual- cham dev',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""ADMITYEAR"" < ""2162"" AND PROCEDURES.""SHORT_TITLE"" = ""Int insert dual-cham dev""",medical
20,Count the male patients with a black/cape verdean ethnic background.,SELECT count(*) FROM Demographic WHERE ETHNICITY  =  'black/cape verdean' AND GENDER  =  'male',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""GENDER"" = ""M"" AND DEMOGRAPHIC.""ETHNICITY"" = ""BLACK/CAPE VERDEAN""",medical
21,how many patients are admitted in location under phys referral/normal deli and diagnosed with icd9 code e9530?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ADMISSION_LOCATION  =  'under phys referral/normal deli' AND T1.ADMISSION_TYPE  =  'Normal Delivery' AND T2.ICD9_CODE  =  'e9530',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""ADMISSION_LOCATION"" = ""PHYS REFERRAL/NORMAL DELI"" AND DIAGNOSES.""ICD9_CODE"" = ""E9530""",medical
22,Find the number of patients diagnosed with wegener's granulomatosis who had a hematology lab test.,SELECT count(DISTINCT T2.HADM_ID) FROM lab AS T1 JOIN diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.itemid  =  'hematology lab test' AND T2.ICD9_CODE  =  'wegener''s granulomatosis',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Wegener's granulomatosis"" AND LAB.""CATEGORY"" = ""Hematology""",medical
