NLQ,PRED SQL,GOLD SQL,OUTPUT PRED,OUTPUT GOLD
count the number of patients whose diagnoses short title is mal neo descend colon.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.SHORT_TITLE  =  'mal neo descend colon',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DIAGNOSES.""SHORT_TITLE"" = ""Mal neo descend colon""","[(0,)]","[(1,)]"
which patients have seroma complicating a procedure diagnoses?,SELECT T1.SUBJECT_ID FROM Demographic AS T1 JOIN Lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID JOIN Procedures AS T3 ON T1.HADM_ID  =  T3.HADM_ID WHERE T2.LABEL  =  'seroma' AND T3.ICD9_CODE  =  'seroma',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DIAGNOSES.""SHORT_TITLE"" = ""Seroma complicting proc""",[],"[(1,)]"
give the number of patients diagnosed with malnutrition of mild degree.,SELECT count(*) FROM Diagnoses WHERE Diagnoses.ICD9_CODE  =  '27180',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Malnutrition of mild degree""","[(0,)]","[(1,)]"
how many patients have been diagnosed with oliguria and anuria?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.ICD9_CODE  =  'oliguria' OR T2.ICD9_CODE  =  'anuria',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Oliguria and anuria""","[(0,)]","[(2,)]"
"which patients had cardiopulmonary resuscitation, not otherwise specified?","SELECT DISTINCT Demographic.SUBJECT_ID FROM Demographic,Lab WHERE Demographic.HADM_ID = Lab.HADM_ID AND Lab.ITEMID  =  'ITEMID' AND Lab.LABEL  =  'cardiopulmonary resuscitation'","SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE PROCEDURES.""LONG_TITLE"" = ""Cardiopulmonary resuscitation, not otherwise specified""",[],"[(4,)]"
count the number of patients with lab test item id 51455.,SELECT count(DISTINCT Demographic.SUBJECT_ID) FROM Demographic JOIN Lab ON Demographic.HADM_ID = Lab.HADM_ID WHERE Lab.ITEMID  =  51455,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE LAB.""ITEMID"" = ""51455""","[(3,)]","[(3,)]"
provide the number of patients whose lab test chart time is 2137-08-30 14:39:00.,SELECT count(*) FROM Lab WHERE CHARTTIME  =  '2137-08-30 14:39:00',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE LAB.""CHARTTIME"" = ""2137-08-30 14:39:00""","[(8,)]","[(1,)]"
provide the number of patients whose lab test chart time is 2120-04-16 13:27:00.,SELECT count(*) FROM Lab WHERE CHARTTIME  =  '2120-04-16 13:27:00',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE LAB.""CHARTTIME"" = ""2120-04-16 13:27:00""","[(7,)]","[(1,)]"
how many patients are with lab test chart time 2111-12-22 19:13:00?,SELECT count(*) FROM Lab WHERE CHARTTIME  =  '2111-12-22 19:13:00',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE LAB.""CHARTTIME"" = ""2111-12-22 19:13:00""","[(5,)]","[(1,)]"
Count the number of unmarried patients with a primary disease of acidosis.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.MARITAL_STATUS  =  'Single' AND T2.ICD9_CODE  =  'acidosis',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""MARITAL_STATUS"" = ""SINGLE"" AND DEMOGRAPHIC.""DIAGNOSIS"" = ""ACIDOSIS""","[(0,)]","[(1,)]"
